,state,type,m²,posted_by,city,price_eur
0,used,1 bedroom,39.0,agency,Sarajevo - Novi Grad,91290.0
1,used,4 bedroom,94.0,agency,Sarajevo - Novi Grad,283050.0
2,used,3 bedroom,58.0,agency,Sarajevo - Novo Sarajevo,152490.0
3,used,2 bedroom,52.0,agency,Sarajevo - Stari Grad,122400.0
4,used,2 bedroom,56.0,agency,Sarajevo - Novi Grad,124950.0
5,used,3 bedroom,75.0,agency,Sarajevo - Centar,205020.0
6,used,3 bedroom,57.0,agency,Sarajevo - Centar,140250.0
7,used,3 bedroom,80.0,agency,Sarajevo - Novi Grad,144840.0
8,used,3 bedroom,71.0,agency,Sarajevo - Novo Sarajevo,177480.0
9,used,5+ bedroom,103.0,agency,Sarajevo - Centar,316200.0
10,used,2 bedroom,71.0,agency,Sarajevo - Centar,436050.0
11,used,2 bedroom,59.0,agency,Sarajevo - Novi Grad,121890.0
12,used,3 bedroom,54.0,agency,Sarajevo - Novo Sarajevo,188700.0
13,used,2 bedroom,81.0,agency,Sarajevo - Centar,284580.0
14,used,3 bedroom,92.0,agency,Sarajevo - Novo Sarajevo,305490.0
15,used,3 bedroom,107.0,agency,Sarajevo - Centar,229500.0
16,used,3 bedroom,67.26,agency,Sarajevo - Novi Grad,178500.0
17,used,4 bedroom,102.0,agency,Sarajevo - Centar,392700.0
18,used,3 bedroom,85.0,agency,Sarajevo - Centar,178500.0
19,used,4 bedroom,104.0,agency,Sarajevo - Centar,173400.0
20,used,3 bedroom,49.0,agency,Sarajevo - Stari Grad,178500.0
21,used,3 bedroom,68.0,agency,Sarajevo - Novi Grad,213690.0
22,used,3 bedroom,66.0,agency,Sarajevo - Centar,57120.0
23,used,1 bedroom,42.0,agency,Sarajevo - Novi Grad,114750.0
24,used,2 bedroom,40.0,agency,Sarajevo - Novo Sarajevo,130050.0
25,not listed,3 bedroom,67.0,agency,Derventa,74970.0
26,used,2 bedroom,52.0,agency,Sarajevo - Novi Grad,99960.0
27,used,2 bedroom,41.0,agency,Sarajevo - Novi Grad,120870.0
28,not listed,studio,21.0,agency,Sarajevo - Novo Sarajevo,58140.0
29,used,5+ bedroom,220.75,agency,Sarajevo - Centar,765000.0
30,used,3 bedroom,55.0,agency,Ilidža,102459.0
31,used,2 bedroom,53.0,agency,Sarajevo - Novi Grad,114750.0
32,used,2 bedroom,76.0,agency,Sarajevo - Novo Sarajevo,203490.0
33,used,3 bedroom,68.0,agency,Sarajevo - Novo Sarajevo,166770.0
34,used,2 bedroom,38.1,agency,Istočno Sarajevo,64122.0
35,used,2 bedroom,45.0,agency,Ilidža,91749.0
36,used,3 bedroom,48.44,agency,Sarajevo - Novi Grad,99450.0
37,used,1 bedroom,38.0,agency,Sarajevo - Novi Grad,80427.0
